titulo;ano;classificacao;duracao;sinopse;direcao;roteiristas;artistas;nota
The Shawshank Redemption;1994;R;2h 22m;Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.;Frank Darabont;Stephen King, Frank Darabont;Tim Robbins, Morgan Freeman, Bob Gunton;9.3
Seven Samurai;1954;Not Rated;3h 27m;Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.;Akira Kurosawa;Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni;Toshirô Mifune, Takashi Shimura, Keiko Tsushima;8.6
One Flew Over the Cuckoo's Nest;1975;R;2h 13m;In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.;Milos Forman;Lawrence Hauben, Bo Goldman, Ken Kesey;Jack Nicholson, Louise Fletcher, Michael Berryman;8.7
Goodfellas;1990;R;2h 25m;The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.;Martin Scorsese;Nicholas Pileggi, Martin Scorsese;Robert De Niro, Ray Liotta, Joe Pesci;8.7
It's a Wonderful Life;1946;PG;2h 10m;An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.;Frank Capra;Frances Goodrich, Albert Hackett, Frank Capra;James Stewart, Donna Reed, Lionel Barrymore;8.6
Saving Private Ryan;1998;R;2h 49m;Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.;Steven Spielberg;Robert Rodat;Tom Hanks, Matt Damon, Tom Sizemore;8.6
Se7en;1995;R;2h 7m;Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.;David Fincher;Andrew Kevin Walker;Morgan Freeman, Brad Pitt, Kevin Spacey;8.6
The Silence of the Lambs;1991;R;1h 58m;A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.;Jonathan Demme;Thomas Harris, Ted Tally;Jodie Foster, Anthony Hopkins, Lawrence A. Bonney;8.6
Star Wars Episode V - The Empire Strikes Back;1980;PG;2h 4m;After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.;Irvin Kershner;Leigh Brackett, Lawrence Kasdan, George Lucas;Mark Hamill, Harrison Ford, Carrie Fisher;8.7
Inception;2010;PG-13;2h 28m;A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.;Christopher Nolan;Christopher Nolan;Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page;8.8
The Matrix;1999;R;2h 16m;When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.;Lana Wachowski, Lilly Wachowski;Lilly Wachowski, Lana Wachowski;Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss;8.7
